timestep,agent,x-coord,y-coord
1,-1,7,27
1,0,8,27
1,1,8,27
1,2,6,27
1,3,7,26
1,4,5,6
1,5,6,7
1,6,5,6
1,7,6,7
1,8,1,50
1,9,1,50
1,10,0,49
1,11,1,50
2,-1,7,27
2,0,9,27
2,1,9,27
2,2,7,27
2,3,7,25
2,4,5,7
2,5,7,7
2,6,6,6
2,7,7,7
2,8,2,50
2,9,2,50
2,10,0,48
2,11,2,50
3,-1,7,27
3,0,10,27
3,1,10,27
3,2,8,27
3,3,7,24
3,4,5,8
3,5,7,8
3,6,7,6
3,7,8,7
3,8,3,50
3,9,2,49
3,10,0,49
3,11,3,50
4,-1,7,27
4,0,10,28
4,1,11,27
4,2,9,27
4,3,7,23
4,4,5,9
4,5,8,8
4,6,6,6
4,7,9,7
4,8,4,50
4,9,3,49
4,10,0,48
4,11,4,50
5,-1,7,27
5,0,11,28
5,1,12,27
5,2,10,27
5,3,7,22
5,4,5,10
5,5,9,8
5,6,7,6
5,7,10,7
5,8,5,50
5,9,4,49
5,10,0,47
5,11,5,50
6,-1,7,27
6,0,12,28
6,1,13,27
6,2,11,27
6,3,8,22
6,4,5,11
6,5,9,7
6,6,8,6
6,7,10,6
6,8,6,50
6,9,5,49
6,10,0,46
6,11,5,49
7,-1,7,27
7,0,13,28
7,1,14,27
7,2,12,27
7,3,8,21
7,4,5,12
7,5,9,6
7,6,9,6
7,7,11,6
7,8,7,50
7,9,6,49
7,10,1,46
7,11,6,49
8,-1,7,27
8,0,14,28
8,1,15,27
8,2,13,27
8,3,9,21
8,4,6,12
8,5,10,6
8,6,10,6
8,7,12,6
8,8,8,50
8,9,7,49
8,10,1,45
8,11,6,50
9,-1,7,27
9,0,15,28
9,1,16,27
9,2,14,27
9,3,10,21
9,4,6,13
9,5,11,6
9,6,11,6
9,7,13,6
9,8,9,50
9,9,8,49
9,10,2,45
9,11,7,50
10,-1,7,27
10,0,16,28
10,1,16,26
10,2,14,28
10,3,10,20
10,4,6,14
10,5,12,6
10,6,12,6
10,7,14,6
10,8,10,50
10,9,7,49
10,10,2,44
10,11,8,50
11,-1,7,27
11,0,17,28
11,1,17,26
11,2,15,28
11,3,10,19
11,4,7,14
11,5,13,6
11,6,13,6
11,7,15,6
11,8,11,50
11,9,7,50
11,10,2,43
11,11,9,50
12,-1,7,27
12,0,16,28
12,1,18,26
12,2,15,29
12,3,11,19
12,4,7,13
12,5,14,6
12,6,14,6
12,7,15,7
12,8,12,50
12,9,8,50
12,10,3,43
12,11,10,50
13,-1,7,27
13,0,17,28
13,1,19,26
13,2,15,28
13,3,11,18
13,4,7,14
13,5,15,6
13,6,15,6
13,7,16,7
13,8,13,50
13,9,9,50
13,10,4,43
13,11,11,50
14,-1,7,27
14,0,18,28
14,1,20,26
14,2,15,29
14,3,12,18
14,4,8,14
14,5,16,6
